0,0
0.001,8.53E-09
0.002,4.92E-08
0.003,1.51E-07
0.004,3.35E-07
0.005,6.20E-07
0.006,1.03E-06
0.007,1.60E-06
0.008,2.37E-06
0.009,3.39E-06
0.01,4.64E-06
0.011,6.11E-06
0.012,7.77E-06
0.013,9.56E-06
0.014,1.14E-05
0.015,1.33E-05
0.016,1.50E-05
0.017,1.66E-05
0.018,1.79E-05
0.019,1.88E-05
0.02,1.92E-05
0.021,1.92E-05
0.022,1.87E-05
0.023,1.79E-05
0.024,1.67E-05
0.025,1.52E-05
0.026,1.37E-05
0.027,1.21E-05
0.028,1.06E-05
0.029,9.46E-06
0.03,8.63E-06
0.031,8.20E-06
0.032,8.18E-06
0.033,8.55E-06
0.034,9.24E-06
0.035,1.02E-05
0.036,1.13E-05
0.037,1.25E-05
0.038,1.35E-05
0.039,1.44E-05
0.04,1.49E-05
0.041,1.51E-05
0.042,1.49E-05
0.043,1.42E-05
0.044,1.32E-05
0.045,1.18E-05
0.046,1.02E-05
0.047,8.36E-06
0.048,6.41E-06
0.049,4.44E-06
0.05,2.55E-06
0.051,7.68E-07
0.052,-8.56E-07
0.053,-2.31E-06
0.054,-3.57E-06
0.055,-4.63E-06
0.056,-5.50E-06
0.057,-6.17E-06
0.058,-6.66E-06
0.059,-7.00E-06
0.06,-7.22E-06
0.061,-7.32E-06
0.062,-7.31E-06
0.063,-7.21E-06
0.064,-7.03E-06
0.065,-6.83E-06
0.066,-6.64E-06
0.067,-6.53E-06
0.068,-6.55E-06
0.069,-6.72E-06
0.07,-7.10E-06
0.071,-7.70E-06
0.072,-8.56E-06
0.073,-9.70E-06
0.074,-1.11E-05
0.075,-1.26E-05
0.076,-1.43E-05
0.077,-1.59E-05
0.078,-1.75E-05
0.079,-1.88E-05
0.08,-1.99E-05
0.081,-2.05E-05
0.082,-2.07E-05
0.083,-2.04E-05
0.084,-1.96E-05
0.085,-1.84E-05
0.086,-1.68E-05
0.087,-1.49E-05
0.088,-1.30E-05
0.089,-1.10E-05
0.09,-9.16E-06
0.091,-7.55E-06
0.092,-6.27E-06
0.093,-5.38E-06
0.094,-4.92E-06
0.095,-4.87E-06
0.096,-5.18E-06
0.097,-5.74E-06
0.098,-6.46E-06
0.099,-7.23E-06
0.1,-7.95E-06
0.101,-8.52E-06
0.102,-8.85E-06
0.103,-8.87E-06
0.104,-8.53E-06
0.105,-7.83E-06
0.106,-6.79E-06
0.107,-5.46E-06
0.108,-3.91E-06
0.109,-2.19E-06
0.11,-3.77E-07
0.111,1.48E-06
0.112,3.33E-06
0.113,5.09E-06
0.114,6.72E-06
0.115,8.20E-06
0.116,9.51E-06
0.117,1.06E-05
0.118,1.16E-05
0.119,1.24E-05
0.12,1.30E-05
0.121,1.33E-05
0.122,1.35E-05
0.123,1.35E-05
0.124,1.33E-05
0.125,1.29E-05
0.126,1.24E-05
0.127,1.18E-05
0.128,1.11E-05
0.129,1.05E-05
0.13,9.97E-06
0.131,9.60E-06
0.132,9.47E-06
0.133,9.61E-06
0.134,1.00E-05
0.135,1.07E-05
0.136,1.17E-05
0.137,1.29E-05
0.138,1.43E-05
0.139,1.56E-05
0.14,1.69E-05
0.141,1.80E-05
0.142,1.88E-05
0.143,1.92E-05
0.144,1.91E-05
0.145,1.85E-05
0.146,1.74E-05
0.147,1.59E-05
0.148,1.40E-05
0.149,1.19E-05
0.15,9.55E-06
0.151,7.25E-06
0.152,5.09E-06
0.153,3.18E-06
0.154,1.60E-06
0.155,3.99E-07
0.156,-3.97E-07
0.157,-7.91E-07
0.158,-8.18E-07
0.159,-5.51E-07
0.16,-8.73E-08
0.161,4.60E-07
0.162,9.82E-07
0.163,1.39E-06
0.164,1.61E-06
0.165,1.60E-06
0.166,1.33E-06
0.167,7.66E-07
0.168,-7.39E-08
0.169,-1.17E-06
0.17,-2.47E-06
0.171,-3.91E-06
0.172,-5.43E-06
0.173,-7.00E-06
0.174,-8.56E-06
0.175,-1.01E-05
0.176,-1.16E-05
0.177,-1.29E-05
0.178,-1.42E-05
0.179,-1.52E-05
0.18,-1.61E-05
0.181,-1.68E-05
0.182,-1.73E-05
0.183,-1.76E-05
