0,0,0,0.002105626
0.001,3.141075908,1.07E-06,0.002105626
0.002,6.279051953,5.16E-06,0.006066361
0.003,9.410831332,1.32E-05,0.009932373
0.004,12.53332336,2.48E-05,0.013312296
0.005,15.6434465,3.99E-05,0.01703256
0.006,18.73813146,5.99E-05,0.023329503
0.007,21.81432414,8.90E-05,0.033106803
0.008,24.86898872,0.000126,0.043516508
0.009,27.8991106,0.000175,0.052133636
0.01,30.90169944,0.00023,0.05996433
0.011,33.87379202,0.000296,0.0673444
0.012,36.81245527,0.00036,0.073424986
0.013,39.71478906,0.00044,0.079049306
0.014,42.57792916,0.00053,0.084685054
0.015,45.39904997,0.00061,0.08925678
0.016,48.17536741,0.0007,0.091462708
0.017,50.90414158,0.00079,0.090383461
0.018,53.5826795,0.00088,0.087579777
0.019,56.20833779,0.00096,0.085984295
0.02,58.77852523,0.00106,0.085988417
0.021,61.29070537,0.00114,0.086359264
0.022,63.74239897,0.00122,0.086948337
0.023,66.13118653,0.00135,0.088031436
0.024,68.45471059,0.0014,0.088751186
0.025,70.71067812,0.0015,0.088807364
0.026,72.89686274,0.0015,0.089999474
0.027,75.01110696,0.0017,0.093252646
0.028,77.05132428,0.0018,0.096851465
0.029,79.01550124,0.0018,0.098545563
0.03,80.90169944,0.002,0.097291399
0.031,82.70805743,0.0021,0.093719549
0.032,84.43279255,0.0021,0.089033942
0.033,86.0742027,0.0022,0.083413099
0.034,87.630668,0.0024,0.076985323
0.035,89.10065242,0.0023,0.070531773
0.036,90.48270525,0.0025,0.063383627
0.037,91.77546257,0.0025,0.053982082
0.038,92.97764859,0.0026,0.043248674
0.039,94.0880769,0.0026,0.033874084
0.04,95.10565163,0.0026,0.027022142
0.041,96.02936857,0.0027,0.021932289
0.042,96.85831611,0.0026,0.017468957
0.043,97.59167619,0.0027,0.012945716
0.044,98.22872507,0.0027,0.007939828
0.045,98.76883406,0.0027,0.00211
0.046,99.21147013,0.0027,-0.004255336
0.047,99.55619646,0.0027,-0.010111064
0.048,99.80267284,0.0027,-0.01528916
0.049,99.95065604,0.0027,-0.021753566
0.05,100,0.0026,-0.031406641
0.051,99.95065604,0.0026,-0.043517929
0.052,99.80267284,0.0026,-0.056249436
0.053,99.55619646,0.0025,-0.068808102
0.054,99.21147013,0.0024,-0.080698458
0.055,98.76883406,0.0023,-0.091311387
0.056,98.22872507,0.0023,-0.100914399
0.057,97.59167619,0.0021,-0.11048419
0.058,96.85831611,0.002,-0.120349947
0.059,96.02936857,0.0019,-0.129289414
0.06,95.10565163,0.0018,-0.135519125
0.061,94.0880769,0.0016,-0.13900077
0.062,92.97764859,0.0015,-0.141627459
0.063,91.77546257,0.0009,-0.144892813
0.064,90.48270525,0.002,-0.149052547
0.065,89.10065242,0.001,-0.154306047
0.066,87.630668,0,-0.160671794
0.067,86.0742027,0.001,-0.16708711
0.068,84.43279255,0.001,-0.172590597
0.069,82.70805743,0,-0.177944389
0.07,80.90169944,0,-0.18468558
0.071,79.01550124,0,-0.193007703
0.072,77.05132428,0,-0.201362298
0.073,75.01110696,0,-0.207936993
0.074,72.89686274,-0.001,-0.212051294
0.075,70.71067812,-0.001,-0.21388785
0.076,68.45471059,-0.001,-0.213692262
0.077,66.13118653,-0.001,-0.21220024
0.078,63.74239897,-0.0015,-0.21061841
0.079,61.29070537,-0.0017,-0.208942715
0.08,58.77852523,-0.0018,-0.205714654
0.081,56.20833779,-0.0021,-0.200294148
0.082,53.5826795,-0.0023,-0.19399972
0.083,50.90414158,-0.0025,-0.188631567
0.084,48.17536741,-0.0026,-0.184951947
0.085,45.39904997,-0.0029,-0.182736187
0.086,42.57792916,-0.003,-0.181389533
0.087,39.71478906,-0.0032,-0.180030362
0.088,36.81245527,-0.0034,-0.177545165
0.089,33.87379202,-0.0035,-0.173510278
0.09,30.90169944,-0.0038,-0.168906724
0.091,27.8991106,-0.0039,-0.164820275
0.092,24.86898872,-0.004,-0.160575019
0.093,21.81432414,-0.0042,-0.154353178
0.094,18.73813146,-0.0044,-0.145289173
0.095,15.6434465,-0.0045,-0.133830255
0.096,12.53332336,-0.0047,-0.120788888
0.097,9.410831332,-0.0047,-0.107161043
0.098,6.279051953,-0.0049,-0.094162256
0.099,3.141075908,-0.0049,-0.082401
0.1,1.22E-14,-0.005,-0.071194648
0.101,-3.141075908,-0.0051,-0.059394119
0.102,-6.279051953,-0.0051,-0.047047753
0.103,-9.410831332,-0.00519,-0.035629128
0.104,-12.53332336,-0.005206,-0.026298563
0.105,-15.6434465,-0.005224,-0.018709185
0.106,-18.73813146,-0.00525,-0.011776048
0.107,-21.81432414,-0.00523,-0.004519887
0.108,-24.86898872,-0.0053,0.004069698
0.109,-27.8991106,-0.0052,0.014672451
0.11,-30.90169944,-0.0052,0.026711842
0.111,-33.87379202,-0.0052,0.038791609
0.112,-36.81245527,-0.0052,0.050390279
0.113,-39.71478906,-0.005,0.062449877
0.114,-42.57792916,-0.0051,0.076063219
0.115,-45.39904997,-0.0049,0.091083048
0.116,-48.17536741,-0.0048,0.106301144
0.117,-50.90414158,-0.0048,0.120489625
0.118,-53.5826795,-0.0046,0.13275349
0.119,-56.20833779,-0.0044,0.142517429
0.12,-58.77852523,-0.0043,0.150130224
0.121,-61.29070537,-0.0042,0.156987336
0.122,-63.74239897,-0.004,0.164093124
0.123,-66.13118653,-0.0038,0.170902227
0.124,-68.45471059,-0.0037,0.176261501
0.125,-70.71067812,-0.0034,0.180020401
0.126,-72.89686274,-0.0031,0.183185464
0.127,-75.01110696,-0.003,0.186954618
